task,model,score,status,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,in_common14
business_finance/bpmn_supply_disruption_l3,Claude,0.911,completed,5041,68719,3080183,184304,2.6611,
business_finance/financial_stmt_reconstruction_aapl_fy2024,Claude,1.0,completed,29,6822,534064,35210,0.3947,Y
business_finance/pe_screening_memo_1,Claude,0.9,completed,12553,7622,1092540,101504,0.8604,Y
computing_math/cp_test_gen_1,Claude,0.7,completed,4513,24908,726481,43228,0.7672,
computing_math/k8s_payment_api_root_cause_analysis,Claude,0.873,completed,13,5543,97548,18588,0.1822,Y
computing_math/os_log_permission_guard_v1,Claude,1.0,completed,220,1734,150577,50900,0.2627,Y
computing_math/recsys_cold_start_instance_1,Claude,0.667,completed,10,54,33544,643,0.0133,
computing_math/synthetic_causal_structure_inference,Claude,0.335,completed,2057,8632,389073,32864,0.3756,Y
education_info/homework_grading_numerical_pdes_instance_02,Claude,0.706,completed,2386,5784,693143,20328,0.3781,Y
health_medicine/causal_ihdp_ite_estimation_6a_v1,Claude,0.178,completed,1907,7603,484651,31840,0.3846,Y
health_medicine/crf_sdtm_mapping_4,Claude,0.589,completed,1144,17341,712064,77768,0.7688,Y
health_medicine/epidemiology_forecast,Claude,0.0,completed,60,8036,421071,36126,0.3825,Y
health_medicine/nhanes_confounder_sensitivity_analysis,Claude,0.538,completed,94,5514,267574,39390,0.311,
legal/agora_governance_classify_instance_1,Claude,0.553,completed,11130,5548,219603,62931,0.4185,Y
life_sciences/cell_tracking_instance_1,Claude,0.504,completed,10,67,33422,302,0.0122,Y
life_sciences/tcga_brca_deg_analysis,Claude,1.0,completed,320,7971,741156,38836,0.4885,Y
physical_sciences/molecular_structure_plausibility,Claude,0.5,completed,2091,22191,638452,67341,0.7832,Y
transport_safety/capacitated_vehicle_routing_problems,Claude,1.0,completed,25,4019,377786,72998,0.4474,Y
business_finance/bpmn_supply_disruption_l3,DeepSeek,0.437,completed,3329702,42364,4076352,0,0.8696,
business_finance/financial_stmt_reconstruction_aapl_fy2024,DeepSeek,1.0,completed,394514,19078,1391040,0,0.1286,Y
business_finance/pe_screening_memo_1,DeepSeek,0.869,completed,1760167,10971,94622,55,0.4087,Y
computing_math/cp_test_gen_1,DeepSeek,0.0,failed,43550,196,37,18,,
computing_math/k8s_payment_api_root_cause_analysis,DeepSeek,0.698,completed,370543,6916,481,55,0.0872,Y
computing_math/os_log_permission_guard_v1,DeepSeek,0.0,completed,331089,2907,44567,37,0.0778,Y
computing_math/recsys_cold_start_instance_1,DeepSeek,0.833,timeout,83266,776,0,0,,
computing_math/synthetic_causal_structure_inference,DeepSeek,0.274,completed,598228,15563,1386176,0,0.1739,Y
education_info/homework_grading_numerical_pdes_instance_02,DeepSeek,0.0,completed,379748,1788,555,55,0.0875,Y
health_medicine/causal_ihdp_ite_estimation_6a_v1,DeepSeek,0.256,completed,185561,3204,375168,0,0.0521,Y
health_medicine/crf_sdtm_mapping_4,DeepSeek,0.598,completed,642430,20618,1384832,0,0.1857,Y
health_medicine/epidemiology_forecast,DeepSeek,0.0,completed,369846,21362,1407619,55,0.1242,Y
health_medicine/nhanes_confounder_sensitivity_analysis,DeepSeek,0.562,completed,636270,24653,710256,0,0.1703,
legal/agora_governance_classify_instance_1,DeepSeek,0.372,completed,1018342,17885,1339840,55,0.2698,Y
life_sciences/cell_tracking_instance_1,DeepSeek,0.0,completed,154292,1009,222,55,0.0357,Y
life_sciences/tcga_brca_deg_analysis,DeepSeek,1.0,completed,249504,14145,1298048,0,0.0916,Y
physical_sciences/molecular_structure_plausibility,DeepSeek,0.0,completed,88413,445,111,55,0.0204,Y
transport_safety/capacitated_vehicle_routing_problems,DeepSeek,1.0,completed,2001029,28552,2532288,0,0.5256,Y
business_finance/bpmn_supply_disruption_l3,Qwen,0.0,failed,269685,489,0,0,,
business_finance/financial_stmt_reconstruction_aapl_fy2024,Qwen,1.0,completed,607405,2879,0,0,0.1402,Y
business_finance/pe_screening_memo_1,Qwen,0.713,completed,1647661,4096,0,0,0.3794,Y
computing_math/cp_test_gen_1,Qwen,0.0,completed,916492,8186,0,0,0.2126,
computing_math/k8s_payment_api_root_cause_analysis,Qwen,0.739,completed,151982,2192,0,0,0.0355,Y
computing_math/os_log_permission_guard_v1,Qwen,1.0,completed,536724,3359,0,0,0.1241,Y
computing_math/recsys_cold_start_instance_1,Qwen,0.333,completed,99474,407,0,0,0.0229,
computing_math/synthetic_causal_structure_inference,Qwen,0.255,completed,884995,4808,0,0,0.2045,Y
education_info/homework_grading_numerical_pdes_instance_02,Qwen,0.308,completed,669345,5683,0,0,0.1552,Y
health_medicine/causal_ihdp_ite_estimation_6a_v1,Qwen,0.0,completed,1952240,11848,0,0,0.4514,Y
health_medicine/crf_sdtm_mapping_4,Qwen,0.0,completed,220219,969,88576,0,0.0529,Y
health_medicine/epidemiology_forecast,Qwen,0.0,completed,230124,693,0,0,0.053,Y
health_medicine/nhanes_confounder_sensitivity_analysis,Qwen,0.539,completed,598654,8419,0,0,0.1397,
legal/agora_governance_classify_instance_1,Qwen,0.421,completed,1239722,11530,0,0,0.2878,Y
life_sciences/cell_tracking_instance_1,Qwen,0.741,completed,39987,336,0,0,0.0093,Y
life_sciences/tcga_brca_deg_analysis,Qwen,0.0,completed,2453474,13001,0,0,0.5668,Y
physical_sciences/molecular_structure_plausibility,Qwen,0.095,completed,778060,7828,0,0,0.1808,Y
transport_safety/capacitated_vehicle_routing_problems,Qwen,0.0,completed,1232049,7441,0,0,0.2849,Y
business_finance/bpmn_supply_disruption_l3,GLM,0.0,completed,66922,1933,342656,0,0.0469,
business_finance/financial_stmt_reconstruction_aapl_fy2024,GLM,1.0,completed,42104,6148,597120,0,0.0545,Y
business_finance/pe_screening_memo_1,GLM,0.944,completed,126411,4743,714624,0,0.0933,Y
computing_math/cp_test_gen_1,GLM,0.0,completed,20362,3766,365184,0,0.031,
computing_math/k8s_payment_api_root_cause_analysis,GLM,0.73,completed,9646,1531,135104,0,0.0126,Y
computing_math/os_log_permission_guard_v1,GLM,1.0,completed,28307,2559,387520,0,0.0333,Y
computing_math/recsys_cold_start_instance_1,GLM,0.167,completed,186,41,44160,0,0.0021,
computing_math/synthetic_causal_structure_inference,GLM,0.261,completed,40513,8251,556800,0,0.0557,Y
education_info/homework_grading_numerical_pdes_instance_02,GLM,0.734,completed,57150,4538,736448,0,0.0641,Y
health_medicine/causal_ihdp_ite_estimation_6a_v1,GLM,0.0,completed,21454,7324,1180736,0,0.0727,Y
health_medicine/crf_sdtm_mapping_4,GLM,0.0,completed,29001,5666,1593920,0,0.0909,Y
health_medicine/epidemiology_forecast,GLM,0.0,completed,17104,7093,566400,0,0.0441,Y
health_medicine/nhanes_confounder_sensitivity_analysis,GLM,,failed,14458,7517,884864,0,,
legal/agora_governance_classify_instance_1,GLM,0.394,completed,55287,5523,619584,0,0.06,Y
life_sciences/cell_tracking_instance_1,GLM,0.725,completed,496,54,31872,0,0.0017,Y
life_sciences/tcga_brca_deg_analysis,GLM,1.0,completed,38091,9165,1331712,0,0.0896,Y
physical_sciences/molecular_structure_plausibility,GLM,0.167,completed,44191,6113,564736,0,0.0539,Y
transport_safety/capacitated_vehicle_routing_problems,GLM,0.0,completed,168,169,45760,0,0.0023,Y
